# Table format: 4D
61
6
6
9
    0.00000000000000e+000     1.00000000000000e+002     2.00000000000000e+002     3.00000000000000e+002     4.00000000000000e+002     5.00000000000000e+002     6.00000000000000e+002     7.00000000000000e+002     8.00000000000000e+002     9.00000000000000e+002     1.00000000000000e+003     1.10000000000000e+003     1.20000000000000e+003     1.30000000000000e+003     1.40000000000000e+003     1.50000000000000e+003     1.60000000000000e+003     1.70000000000000e+003     1.80000000000000e+003     1.90000000000000e+003     2.00000000000000e+003     2.10000000000000e+003     2.20000000000000e+003     2.30000000000000e+003     2.40000000000000e+003     2.50000000000000e+003     2.60000000000000e+003     2.70000000000000e+003     2.80000000000000e+003     2.90000000000000e+003     3.00000000000000e+003     3.10000000000000e+003     3.20000000000000e+003     3.30000000000000e+003     3.40000000000000e+003     3.50000000000000e+003     3.60000000000000e+003     3.70000000000000e+003     3.80000000000000e+003     3.90000000000000e+003     4.00000000000000e+003     4.10000000000000e+003     4.20000000000000e+003     4.30000000000000e+003     4.40000000000000e+003     4.50000000000000e+003     4.60000000000000e+003     4.70000000000000e+003     4.80000000000000e+003     4.90000000000000e+003     5.00000000000000e+003     5.10000000000000e+003     5.20000000000000e+003     5.30000000000000e+003     5.40000000000000e+003     5.50000000000000e+003     5.60000000000000e+003     5.70000000000000e+003     5.80000000000000e+003     5.90000000000000e+003     6.00000000000000e+003 
    1.20000000000000e+002     1.00000000000000e+002     8.00000000000000e+001     6.00000000000000e+001     4.00000000000000e+001     2.00000000000000e+001 
    1.60000000000000e+001     1.40000000000000e+001     1.20000000000000e+001     1.00000000000000e+001     8.00000000000000e+000     6.00000000000000e+000 
    1.20000000000000e+002     1.00000000000000e+002     8.00000000000000e+001     6.00000000000000e+001     4.00000000000000e+001     2.00000000000000e+001     0.00000000000000e+000    -2.00000000000000e+001    -4.00000000000000e+001 
    3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98376682900000e+000     3.96293484500000e+000     3.91681652900000e+000     3.85501711400000e+000     3.78379772700000e+000     3.70721423800000e+000     3.62791607200000e+000     3.54765138700000e+000     3.46758115100000e+000     3.38847684500000e+000     3.31084699100000e+000     3.23502010400000e+000     3.16120005600000e+000     3.08950370800000e+000     3.01998691200000e+000     2.95266270500000e+000     2.88751418900000e+000     2.82450373300000e+000     2.76357959500000e+000     2.70468071400000e+000     2.64774018500000e+000     2.59268778600000e+000     2.53945180400000e+000     2.48796036100000e+000     2.43814236000000e+000     2.38992814900000e+000     2.34324998200000e+000     2.29804233000000e+000     2.25424206700000e+000     2.21187415100000e+000     2.17105721300000e+000     2.13170913100000e+000     2.09375328900000e+000     2.05711814800000e+000     2.02173685700000e+000     1.98754689000000e+000 
    3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98376682900000e+000     3.96293484500000e+000     3.91681652900000e+000     3.85501711400000e+000     3.78379772700000e+000     3.70721423800000e+000     3.62791607200000e+000     3.54765138700000e+000     3.46758115200000e+000     3.38847684500000e+000     3.31084699000000e+000     3.23502010500000e+000     3.16120005600000e+000     3.08950370800000e+000     3.01998691200000e+000     2.95266270500000e+000     2.88751418900000e+000     2.82450373300000e+000     2.76357959500000e+000     2.70468071400000e+000     2.64774018500000e+000     2.59268778600000e+000     2.53945180400000e+000     2.48796036100000e+000     2.43814236000000e+000     2.38992814900000e+000     2.34324998200000e+000     2.29804233000000e+000     2.25424206700000e+000     2.21187415100000e+000     2.17105721300000e+000     2.13170913100000e+000     2.09375328900000e+000     2.05711814800000e+000     2.02173685700000e+000     1.98754689000000e+000 
    3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.91095976700000e+000     3.81549562300000e+000     3.72278732200000e+000     3.62888518800000e+000     3.53499250100000e+000     3.44246255700000e+000     3.35211845800000e+000     3.26445080100000e+000     3.17973294600000e+000     3.09809522200000e+000     3.01957351900000e+000     2.94414162400000e+000     2.87173298000000e+000     2.80225548100000e+000     2.73560159300000e+000     2.67165529800000e+000     2.61029686000000e+000     2.55140606800000e+000     2.49486443300000e+000     2.44055663200000e+000     2.38837143600000e+000     2.33820226800000e+000     2.28994749800000e+000     2.24351056000000e+000     2.19879994400000e+000     2.15572909500000e+000     2.11421626500000e+000     2.07418432100000e+000     2.03556053400000e+000     1.99827635500000e+000     1.96226719200000e+000     1.92747218200000e+000     1.89383397200000e+000     1.86129851000000e+000     1.82981484700000e+000     1.79933490500000e+000     1.76981337100000e+000 
    3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.93350907100000e+000     3.81446158400000e+000     3.69982937200000e+000     3.58965713000000e+000     3.48392727900000e+000     3.38257464800000e+000     3.28549864900000e+000     3.19257248300000e+000     3.10365325000000e+000     3.01858614900000e+000     2.93721000900000e+000     2.85936105900000e+000     2.78487576200000e+000     2.71359292700000e+000     2.64535524300000e+000     2.57845751400000e+000     2.51260716600000e+000     2.44863036800000e+000     2.38666885700000e+000     2.32679564300000e+000     2.26903492500000e+000     2.21337651900000e+000     2.15978631500000e+000     2.10821388100000e+000     2.05859798700000e+000     2.01087062500000e+000     1.96495993100000e+000     1.92079229000000e+000     1.87829385800000e+000     1.83739163300000e+000     1.79801421400000e+000     1.76009230900000e+000     1.72355907400000e+000     1.68835032000000e+000     1.65440461700000e+000     1.62166333700000e+000     1.59007064000000e+000     1.55957342600000e+000     1.53012126100000e+000     1.50166628700000e+000     1.47416312200000e+000     1.44756874700000e+000     1.42184239900000e+000     1.39694545700000e+000     1.37284133500000e+000 
    3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.98396065000000e+000     3.97054473700000e+000     3.81275649000000e+000     3.66116000500000e+000     3.51618472000000e+000     3.37804464500000e+000     3.24812513500000e+000     3.12378049900000e+000     3.00600590100000e+000     2.89458835200000e+000     2.78926680200000e+000     2.68975106200000e+000     2.59573593200000e+000     2.50691153400000e+000     2.42297070200000e+000     2.34361412000000e+000     2.26855372000000e+000     2.19751495300000e+000     2.13023791500000e+000     2.06647792400000e+000     2.00600559000000e+000     1.94860654400000e+000     1.89408093500000e+000     1.84224278200000e+000     1.79291924200000e+000     1.74594982400000e+000     1.70118560200000e+000     1.65848842400000e+000     1.61712205800000e+000     1.57684200200000e+000     1.53773472300000e+000     1.49984049400000e+000     1.46317638300000e+000     1.42774223800000e+000     1.39352524400000e+000     1.36050339100000e+000     1.32864812700000e+000     1.29792637800000e+000     1.26830208500000e+000     1.23973737400000e+000     1.21219343800000e+000     1.18563120600000e+000     1.16001183700000e+000     1.13529708600000e+000     1.11144957400000e+000     1.08843297300000e+000     1.06621213300000e+000     1.04475316900000e+000     1.02402350300000e+000     1.00399188900000e+000     9.84628411000000e-001     9.65904468000000e-001     9.47792748000000e-001     9.30267194000000e-001 
    3.98396065000000e+000     3.80971759600000e+000     3.58517019700000e+000     3.37007999800000e+000     3.16651343500000e+000     2.97524697400000e+000     2.79693601700000e+000     2.63162914200000e+000     2.47898990400000e+000     2.33842757100000e+000     2.20919910400000e+000     2.09048493500000e+000     1.98144273300000e+000     1.88124371700000e+000     1.78909574400000e+000     1.70425676900000e+000     1.62604153100000e+000     1.55382364000000e+000     1.48703469900000e+000     1.42516157300000e+000     1.36774270800000e+000     1.31436387300000e+000     1.26465382200000e+000     1.21828005400000e+000     1.17494479200000e+000     1.13438126100000e+000     1.09635029600000e+000     1.06063727400000e+000     1.02704937600000e+000     9.95413140000000e-001     9.65572297000000e-001     9.37385857000000e-001     9.10726412000000e-001     8.85478646000000e-001     8.61538017000000e-001     8.38809595000000e-001     8.17207040000000e-001     7.96651698000000e-001     7.77053731000000e-001     7.57896920000000e-001     7.39086038000000e-001     7.20676572000000e-001     7.02707952000000e-001     6.85206998000000e-001     6.68190648000000e-001     6.51668107000000e-001     6.35642560000000e-001     6.20112521000000e-001     6.05072917000000e-001     5.90515943000000e-001     5.76431744000000e-001     5.62808964000000e-001     5.49635170000000e-001     5.36897203000000e-001     5.24581449000000e-001     5.12674049000000e-001     5.01161076000000e-001     4.90028658000000e-001     4.79263088000000e-001     4.68850898000000e-001     4.58778919000000e-001 
